Date,Time,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive
2022-03-01,18:15,185,10,0.1025730110906265,0.2273460077627718,27,0.1459459459459459
2022-03-01,18:30,154,5,0.0822974126181238,0.2357439016231987,19,0.1233766233766233
2022-03-01,18:45,158,7,0.0800033039207086,0.217355149718335,16,0.1012658227848101
2022-03-01,19:0,143,5,0.0760141338084961,0.1461325602489207,11,0.0769230769230769
2022-03-01,19:15,160,1,0.0564066787221236,0.1829872715177863,12,0.075
2022-03-01,19:30,165,6,0.0757212529212913,0.1931282597898391,18,0.109090909090909
2022-03-01,19:45,178,6,0.0826176125765516,0.2487437920504542,28,0.1573033707865168
2022-03-01,20:0,139,-2,0.0273681247017259,0.2106651815844523,12,0.0863309352517985
2022-03-01,20:15,190,4,0.0661921176054564,0.203684651649364,19,0.1
2022-03-01,20:30,134,5,0.0840093511497296,0.1834358152571932,19,0.1417910447761194
2022-03-01,20:45,136,9,0.0848456347354359,0.198419440391729,15,0.1102941176470588
2022-03-01,21:0,154,5,0.0621198149240733,0.2038937255881625,13,0.0844155844155844
2022-03-01,21:15,202,4,0.062207690991074,0.1485490761467801,12,0.0594059405940594
2022-03-01,21:30,174,1,0.0516028253698785,0.1923388094339815,14,0.0804597701149425
2022-03-01,21:45,146,1,0.0596191461121484,0.1962820205109166,18,0.1232876712328767
2022-03-01,22:0,138,5,0.0596142036408401,0.1543119133568291,12,0.0869565217391304
2022-03-01,22:15,160,1,0.0547391272673849,0.2030092966996961,12,0.075
2022-03-01,22:30,121,2,0.0629235495474528,0.2141890221935844,10,0.0826446280991735
2022-03-01,22:45,146,10,0.0869509920267362,0.2424684341974153,17,0.1164383561643835
2022-03-01,23:0,113,3,0.0539185615767419,0.2073942248673925,8,0.0707964601769911
2022-03-01,23:15,118,6,0.0748110639041889,0.242959214805856,15,0.1271186440677966
2022-03-01,23:30,100,11,0.1195996766490861,0.2400011163727952,16,0.16
2022-03-01,23:45,114,1,0.0704526770410634,0.2147053187849988,16,0.1403508771929824
2022-03-02,0:0,100,-2,0.0173329840833321,0.2199533039688108,6,0.06
2022-03-02,0:15,346,-2,0.0450346371255858,0.2088077838619008,32,0.0924855491329479
2022-03-02,0:30,204,-7,0.0128377544803216,0.2333891101690325,13,0.0637254901960784
2022-03-02,0:45,239,3,0.0801775140286458,0.1120850047038311,4,0.0167364016736401
2022-03-02,1:0,104,4,0.0954147087893663,0.2058882011360855,14,0.1346153846153846
2022-03-02,1:15,61,-3,0.0156192521900549,0.2495121640903545,6,0.0983606557377049
2022-03-02,1:30,46,1,0.0749250926360811,0.2436376445202705,8,0.1739130434782608
2022-03-02,1:45,50,6,0.1874250829406082,0.2872003357060981,22,0.44
2022-03-02,2:0,73,3,0.1114051116770771,0.2471982475415305,11,0.1506849315068493
2022-03-02,2:15,51,3,0.0941221433618635,0.2714372939985494,9,0.1764705882352941
2022-03-02,2:30,52,13,0.2387819254967885,0.3117106342153936,19,0.3653846153846153
2022-03-02,2:45,58,10,0.1989212245600105,0.2973283614515157,16,0.2758620689655172
2022-03-02,3:0,66,13,0.2058513774254331,0.2876769427398784,20,0.303030303030303
2022-03-02,3:15,65,11,0.1794861460892627,0.2773817347899363,17,0.2615384615384615
2022-03-02,3:30,74,12,0.1697401972928059,0.3561279150941834,22,0.2972972972972973
2022-03-02,3:45,88,21,0.2286549037512899,0.3005854275237969,28,0.3181818181818182
2022-03-02,4:0,124,21,0.1741722087308223,0.2801369391569211,28,0.2258064516129032
2022-03-02,4:15,166,12,0.1066254623239882,0.1929249258383421,29,0.1746987951807229
2022-03-02,4:30,178,11,0.1295318821173035,0.2067517316268291,25,0.1404494382022472
2022-03-02,4:45,248,8,0.1082050788794614,0.1401703742075042,14,0.0564516129032258
2022-03-02,5:0,76,2,0.0929421341953505,0.1800708927273922,5,0.0657894736842105
2022-03-02,5:15,202,20,0.1537004911783381,0.249694227951168,38,0.1881188118811881
2022-03-02,5:30,29,1,0.0940259781762443,0.2289494887334307,6,0.2068965517241379
2022-03-02,5:45,51,13,0.2855803098474793,0.2918275098840354,23,0.4509803921568627
2022-03-02,6:0,82,15,0.1715535131487541,0.326158693053058,24,0.2926829268292683
2022-03-02,6:15,102,16,0.1500686653798409,0.3048020629580188,23,0.2254901960784313
2022-03-02,6:30,155,12,0.1169350219199494,0.2067462558161143,19,0.1225806451612903
2022-03-02,6:45,157,4,0.0898570133147725,0.1970303710841395,13,0.0828025477707006
2022-03-02,7:0,72,-1,0.0425407908235987,0.1281001400752491,3,0.0416666666666666
2022-03-02,7:15,36,5,0.1509717447398644,0.2538055229526197,8,0.2222222222222222
2022-03-02,7:30,177,9,0.1018174220860467,0.1807651498382146,13,0.0734463276836158
2022-03-02,7:45,161,3,0.0566256857963035,0.1761914817074572,9,0.0559006211180124
2022-03-02,8:0,207,0,0.057628335930623,0.0929473651906624,4,0.0193236714975845
2022-03-02,8:15,121,5,0.1166462232012394,0.1936601725494768,16,0.1322314049586777
2022-03-02,8:30,14,2,0.2140692193726343,0.2278531759945334,5,0.3571428571428571
2022-03-02,9:15,86,9,0.153410489026587,0.281349887746515,22,0.2558139534883721
2022-03-02,9:30,76,11,0.1455970607440624,0.287595754416806,14,0.1842105263157894
2022-03-02,9:45,1,0,0.0133137833327054,,0,0.0
2022-03-02,10:0,133,14,0.1492421125040803,0.2478865027644723,26,0.1954887218045112
2022-03-02,10:15,231,20,0.1132365929434535,0.1996031996123616,38,0.1645021645021645
2022-03-02,10:30,201,20,0.1162616498026978,0.2213543294981492,29,0.1442786069651741
2022-03-02,10:45,195,9,0.1037155061506499,0.1801329991400349,33,0.1692307692307692
2022-03-02,11:0,113,15,0.219585538005242,0.2399389781191122,52,0.4601769911504424
2022-03-02,11:15,281,7,0.0950829084163856,0.1458142996774989,32,0.1138790035587188
2022-03-02,11:30,225,5,0.0856077815819945,0.1533796978431886,15,0.0666666666666666
2022-03-02,11:45,180,18,0.1411609126306656,0.218720996739626,27,0.15
2022-03-02,12:0,73,1,0.1023113943878816,0.1867930985835376,10,0.136986301369863
2022-03-02,12:15,23,4,0.1972782933760596,0.3045802475697631,5,0.217391304347826
2022-03-02,12:30,196,12,0.088394024364213,0.1665061405297314,25,0.1275510204081632
2022-03-02,12:45,124,30,0.2622359549146025,0.3086590378060044,49,0.3951612903225806
2022-03-02,13:0,155,3,0.0621608837958305,0.1527059245859109,9,0.0580645161290322
2022-03-02,13:15,42,3,0.067605726531751,0.2193107070916812,6,0.1428571428571428
2022-03-02,13:30,277,9,0.0894802098804647,0.1316424305887628,12,0.0433212996389891
2022-03-02,13:45,248,10,0.1096266051547812,0.1772780189203822,28,0.1129032258064516
2022-03-02,14:0,153,15,0.1335733265074249,0.2281258622526304,24,0.1568627450980392
2022-03-02,14:15,299,13,0.0929463069253666,0.1613814024574489,29,0.0969899665551839
2022-03-02,14:30,244,17,0.1113861243080225,0.2247610113792751,31,0.1270491803278688
2022-03-02,14:45,133,15,0.1267464382931085,0.2793083677026381,25,0.18796992481203
2022-03-02,15:0,123,18,0.171232615544544,0.2662779069828839,31,0.2520325203252032
2022-03-02,15:15,221,24,0.1402922135280504,0.2520925052672211,35,0.1583710407239819
2022-03-02,15:30,118,16,0.1505585234272846,0.2513411002513638,24,0.2033898305084746
2022-03-02,15:45,91,15,0.1700593654659914,0.265470420967992,25,0.2747252747252747
2022-03-02,16:0,133,26,0.2043307808199827,0.309685806945399,40,0.3007518796992481
2022-03-02,16:15,183,13,0.126417458579046,0.228619590589113,28,0.1530054644808743
2022-03-02,16:31,119,20,0.2140889257709143,0.2849015520912996,38,0.3193277310924369
2022-03-02,16:46,266,19,0.1556397259788573,0.1877847015101101,37,0.1390977443609022
2022-03-02,17:1,95,14,0.1669377675721127,0.2844061097241095,27,0.2842105263157894
2022-03-02,17:15,105,19,0.1557322519653964,0.283612720309758,25,0.238095238095238
2022-03-02,17:30,99,10,0.1338299875326379,0.2792655250672492,23,0.2323232323232323
2022-03-02,17:45,137,18,0.1457966173740688,0.2845583960575935,28,0.2043795620437956
2022-03-02,18:0,105,20,0.1751250118327637,0.309301896573898,25,0.238095238095238
2022-03-02,18:15,97,15,0.1663132561226711,0.2811654741348809,27,0.2783505154639175
2022-03-02,18:30,109,0,0.0995092521626673,0.2848820233489205,40,0.3669724770642202
2022-03-02,18:45,289,8,0.0749184364472293,0.1085651980670122,15,0.0519031141868512
2022-03-02,19:0,269,2,0.0822014137964044,0.1017320661330053,9,0.0334572490706319
2022-03-02,19:15,222,4,0.0854847610042942,0.1253752435727603,11,0.0495495495495495
2022-03-02,19:30,1,0,0.075347663834691,,0,0.0
2022-03-02,19:45,19,1,0.0507785200974658,0.1153992021158688,1,0.0526315789473684
2022-03-02,20:0,94,2,0.0714688287166125,0.171708260050935,10,0.1063829787234042
