Open,High,Low,Close,Volume,Number of tweets,Additive score,Mean score,Standard deviation score,Number of positive,Percentage of positive,High_Low_Pct,Change,RSI,MACD,Stochastic_oscillator,Williams,OBV
43609.96,44000.0,43574.9,43946.76,1118.06852,146.0,13.0,0.1028698738313547,0.2285193451551674,21.0,0.1438356164383561,0.009755616191890252,0.0077230063957867134,67.50734237491228,50.05068950745022,50.20354598532332,-4.473874388665577,3291.4070899999997
43946.76,44539.53,43871.97,44479.16,2648.04297,201.0,19.0,0.1070464956828981,0.2601760290598393,35.0,0.1741293532338308,0.015216093555862608,0.01211465873707196,76.05552697238598,95.97685375096609,52.532130460614724,-3.4905033101093057,5939.450059999999
44479.16,44495.42,44075.43,44332.01,1179.4271,257.0,11.0,0.0844451224264699,0.2709700838048115,44.0,0.1712062256809338,0.00952889172039837,-0.003308290893982768,70.53240949286561,109.75321591272353,68.43788110947793,-11.998496718799533,4760.022959999999
44332.01,44689.8,44250.01,44640.38,1649.69751,228.0,9.0,0.0696170252008494,0.2928707749888972,35.0,0.1535087719298245,0.009938754816100626,0.0069559219173684905,74.6817881469064,131.47659774829037,72.89812410613894,-2.62897511463893,6409.720469999999
44641.01,44949.0,44557.51,44672.05,2310.68599,237.0,15.0,0.099853166874168,0.2970563052263975,47.0,0.1983122362869198,0.008786173195046086,0.0007094473658155742,75.0700462611965,139.08423264444073,92.21901429978597,-12.947518022271765,8720.406459999998
44672.05,44773.86,44490.0,44528.92,1527.76806,323.0,25.0,0.1050210501969829,0.2956549868063333,64.0,0.1981424148606811,0.006380310182063398,-0.0032040168293150373,69.8561828078607,125.97325729877986,87.6328929044528,-19.638900057035578,7192.638399999998
44528.92,44670.44,44448.47,44469.75,870.10661,255.0,19.0,0.1123540083220338,0.2908501813180936,50.0,0.196078431372549,0.004993872679982037,-0.0013287993510733287,67.76096988243211,105.63456995118344,84.81165721273045,-24.94456762749443,6322.531789999998
44469.76,44665.29,44416.04,44416.04,807.61994,226.0,19.0,0.1092589195401498,0.2857664551482211,41.0,0.1814159292035398,0.005611711444784361,-0.001207787316096831,65.83082081778107,81.93956223553062,80.72431577758523,-28.0876315553705,5514.911849999999
44416.05,44594.69,44350.1,44564.14,818.1466,269.0,12.0,0.0649441383003523,0.2747722416398949,35.0,0.1301115241635687,0.0055149819278875085,0.0033343810028989562,68.49563288452799,70.07529529254032,70.41036717062603,-22.777498298464195,6333.058449999999
44564.14,44664.19,44433.53,44435.87,623.41169,269.0,16.0,0.0984013939162086,0.2678941361977646,45.0,0.1672862453531598,0.005191124810475411,-0.0028783232437560313,63.85096939120753,48.45124842221327,77.32807376075249,-32.09068167604737,5709.646759999999
44435.86,44544.04,43718.03,44149.0,2033.69845,271.0,15.0,0.0927061938587919,0.2563664858037778,51.0,0.1881918819188192,0.018894035252732158,-0.006455820489167929,54.88690733055175,11.611617163445828,9.31799819400205,-50.03126954346467,3675.948309999999
44149.01,44200.0,43717.57,43808.86,1186.07066,338.0,23.0,0.1019136118661259,0.2448662847804438,45.0,0.1331360946745562,0.011035151313304932,-0.0077043647647738744,46.54333368939322,-36.25968544580678,9.27427403640506,-71.30331457160722,2489.8776499999985
43808.86,43977.84,43534.77,43719.06,1311.33132,229.0,14.0,0.0749932171199389,0.272864765471091,34.0,0.148471615720524,0.010177382354380182,-0.002049813667828859,44.6150622925573,-72.47717603437835,-8.10132598260567,-76.9193245778613,1178.5463299999985
43719.07,44073.0,43717.16,43900.0,931.8917,279.0,28.0,0.1609871895836939,0.3025948379967786,88.0,0.3154121863799283,0.008139595527248258,0.004138698316020539,49.18340973303145,-82.04851787023296,-37.550597081573386,-74.17463920295833,2110.4380299999984
43899.99,43950.0,43525.96,43552.73,720.43829,337.0,81.0,0.2070695831570277,0.2961577910099848,135.0,0.400593471810089,0.009742231992126099,-0.007910478359908768,42.01970301249928,-107.93894737083178,-58.72723495602786,-98.11881605576765,1389.9997399999984
43552.73,43682.35,43350.0,43643.69,1322.48683,251.0,30.0,0.1333287167010376,0.3032621335879503,65.0,0.2589641434262948,0.007666666666666633,0.002088502833232253,44.307835306864945,-114.48781626041983,-33.580883095887344,-81.63289555972469,2712.486569999998
